GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0021800001,2018-10-16,2018-19,BOS,PHI,1,1,42,97,11,37,10,14,15,105,12,43,mid
0021800002,2018-10-16,2018-19,GSW,OKC,1,1,42,95,7,26,17,18,21,108,17,41,mid
0021800001,2018-10-16,2018-19,PHI,BOS,0,0,34,87,5,26,14,23,16,87,6,41,mid
0021800002,2018-10-16,2018-19,OKC,GSW,0,0,33,91,10,37,24,37,15,100,16,29,mid
0021800007,2018-10-17,2018-19,ATL,NYK,0,0,41,90,10,36,15,18,24,107,7,38,mid
0021800008,2018-10-17,2018-19,CLE,TOR,0,0,34,85,7,19,29,39,16,104,14,35,mid
0021800009,2018-10-17,2018-19,NOP,HOU,0,1,52,98,10,25,17,22,12,131,14,40,mid
0021800013,2018-10-17,2018-19,DAL,PHX,0,0,38,88,10,33,14,20,9,100,10,28,mid
0021800012,2018-10-17,2018-19,DEN,LAC,0,1,33,87,8,24,33,42,11,107,14,42,mid
0021800009,2018-10-17,2018-19,HOU,NOP,1,0,39,92,16,48,18,24,12,112,8,29,mid
0021800012,2018-10-17,2018-19,LAC,DEN,1,0,35,88,8,28,20,24,14,98,9,38,mid
0021800006,2018-10-17,2018-19,MIA,ORL,0,0,38,97,9,33,16,22,17,101,14,38,mid
0021800003,2018-10-17,2018-19,MIL,CHA,0,1,42,85,14,34,15,20,21,113,11,46,mid
0021800010,2018-10-17,2018-19,MIN,SAS,0,0,39,91,6,19,24,27,11,108,14,32,mid
0021800004,2018-10-17,2018-19,BKN,DET,0,0,40,82,5,27,15,22,19,100,5,34,mid
0021800007,2018-10-17,2018-19,NYK,ATL,1,1,45,99,12,33,24,31,16,126,10,36,mid
0021800006,2018-10-17,2018-19,ORL,MIA,1,1,39,94,7,25,19,31,12,104,14,37,mid
0021800005,2018-10-17,2018-19,IND,MEM,1,1,47,83,10,26,7,13,20,111,13,44,mid
0021800013,2018-10-17,2018-19,PHX,DAL,1,1,44,81,19,34,14,16,12,121,6,38,mid
0021800011,2018-10-17,2018-19,SAC,UTA,1,0,49,95,7,19,12,18,9,117,5,32,mid
0021800010,2018-10-17,2018-19,SAS,MIN,1,1,40,93,11,25,21,29,12,112,19,33,mid
0021800008,2018-10-17,2018-19,TOR,CLE,1,1,45,92,14,33,12,20,10,116,8,35,mid
0021800011,2018-10-17,2018-19,UTA,SAC,0,1,41,79,13,27,28,38,17,123,5,39,mid
0021800005,2018-10-17,2018-19,MEM,IND,0,0,25,84,10,29,23,28,10,83,7,21,mid
0021800004,2018-10-17,2018-19,DET,BKN,1,1,39,92,6,24,19,22,17,103,14,32,mid
0021800003,2018-10-17,2018-19,CHA,MIL,1,0,41,92,16,38,14,22,11,112,9,32,mid
0021800014,2018-10-18,2018-19,CHI,PHI,0,0,44,101,11,33,9,12,12,108,5,34,mid
0021800016,2018-10-18,2018-19,LAL,POR,0,0,45,93,7,30,22,29,15,119,8,38,mid
0021800015,2018-10-18,2018-19,MIA,WAS,0,1,38,97,12,35,25,34,19,113,22,33,mid
0021800014,2018-10-18,2018-19,PHI,CHI,1,1,44,93,12,36,27,30,13,127,11,44,mid
0021800016,2018-10-18,2018-19,POR,LAL,1,1,44,100,13,37,27,29,17,128,14,40,mid
0021800015,2018-10-18,2018-19,WAS,MIA,1,0,38,81,7,26,29,39,14,112,7,33,mid
0021800020,2018-10-19,2018-19,ATL,MEM,0,0,41,83,14,30,21,36,19,117,11,29,mid
0021800019,2018-10-19,2018-19,BOS,TOR,0,0,40,99,14,36,7,10,16,101,16,33,mid
0021800021,2018-10-19,2018-19,CLE,MIN,0,0,45,93,8,23,25,29,14,123,13,30,mid
0021800022,2018-10-19,2018-19,NOP,SAC,1,1,56,95,16,31,21,33,16,149,12,40,mid
0021800024,2018-10-19,2018-19,GSW,UTA,0,1,49,87,10,19,16,18,16,124,8,35,mid
0021800025,2018-10-19,2018-19,LAC,OKC,1,1,35,81,11,26,27,36,15,108,10,38,mid
0021800023,2018-10-19,2018-19,MIL,IND,1,1,44,93,17,46,13,21,17,118,11,39,mid
0021800021,2018-10-19,2018-19,MIN,CLE,1,1,44,87,10,25,33,35,14,131,9,31,mid
0021800018,2018-10-19,2018-19,BKN,NYK,1,1,37,75,12,30,21,24,22,107,12,43,mid
0021800018,2018-10-19,2018-19,NYK,BKN,0,0,39,97,9,28,18,20,3,105,12,24,mid
0021800017,2018-10-19,2018-19,ORL,CHA,1,0,36,94,6,31,10,14,18,88,12,32,mid
0021800023,2018-10-19,2018-19,IND,MIL,0,0,38,87,6,18,19,27,17,101,9,32,mid
0021800022,2018-10-19,2018-19,SAC,NOP,0,0,50,96,10,25,19,26,13,129,9,30,mid
0021800025,2018-10-19,2018-19,OKC,LAC,0,0,34,95,7,33,17,23,13,92,15,37,mid
0021800019,2018-10-19,2018-19,TOR,BOS,1,1,43,92,13,35,14,19,13,113,12,37,mid
0021800024,2018-10-19,2018-19,UTA,GSW,1,0,40,89,19,46,24,29,17,123,10,28,mid
0021800020,2018-10-19,2018-19,MEM,ATL,1,1,44,81,13,26,30,43,17,131,7,34,mid
0021800017,2018-10-19,2018-19,CHA,ORL,0,1,43,92,17,38,17,20,16,120,12,43,mid
0021800028,2018-10-20,2018-19,BOS,NYK,0,1,33,82,9,25,28,33,15,103,11,36,mid
0021800031,2018-10-20,2018-19,CHI,DET,1,0,44,87,7,21,21,26,11,116,5,36,mid
0021800032,2018-10-20,2018-19,DAL,MIN,1,1,49,98,17,50,25,34,16,140,15,27,mid
0021800033,2018-10-20,2018-19,DEN,PHX,1,1,43,85,9,28,24,29,18,119,9,45,mid
0021800035,2018-10-20,2018-19,HOU,LAL,0,1,44,96,16,42,20,30,18,124,13,41,mid
0021800035,2018-10-20,2018-19,LAL,HOU,1,0,48,100,8,32,11,18,11,115,9,35,mid
0021800030,2018-10-20,2018-19,MIA,CHA,1,0,41,89,11,34,19,27,16,112,12,37,mid
0021800032,2018-10-20,2018-19,MIN,DAL,0,0,44,84,14,27,34,40,17,136,6,27,mid
0021800026,2018-10-20,2018-19,BKN,IND,0,0,41,86,16,37,14,22,20,112,9,31,mid
0021800028,2018-10-20,2018-19,NYK,BOS,1,0,36,87,12,35,17,27,16,101,11,35,mid
0021800029,2018-10-20,2018-19,ORL,PHI,0,0,41,90,16,29,17,22,16,115,14,35,mid
0021800026,2018-10-20,2018-19,IND,BKN,1,1,51,92,16,24,14,22,11,132,10,30,mid
0021800029,2018-10-20,2018-19,PHI,ORL,1,1,45,94,17,33,9,10,10,116,13,33,mid
0021800033,2018-10-20,2018-19,PHX,DEN,0,0,29,77,11,39,22,35,19,91,10,30,mid
0021800034,2018-10-20,2018-19,POR,SAS,1,1,45,84,15,32,16,19,12,121,8,38,mid
0021800034,2018-10-20,2018-19,SAS,POR,0,0,42,100,13,30,11,14,6,108,15,25,mid
0021800027,2018-10-20,2018-19,TOR,WAS,0,1,39,88,10,29,29,36,17,117,14,38,mid
0021800027,2018-10-20,2018-19,WAS,TOR,1,0,37,89,13,39,26,32,11,113,9,28,mid
0021800031,2018-10-20,2018-19,DET,CHI,0,1,41,101,18,40,18,23,10,118,18,31,mid
