GAME_ID,Date,Season,Team,Opp,Home,W,FGM,FGA,FG3M,FG3A,FTM,FTA,TOV,PTS,ORB,DRB,era
0020700001,2007-10-30,2007-08,POR,SAS,0,0,39,78,6,13,13,17,17,97,8,32,early
0020700001,2007-10-30,2007-08,SAS,POR,1,1,41,87,6,24,18,26,9,106,12,28,early
0020700002,2007-10-30,2007-08,HOU,LAL,0,1,34,74,6,22,21,31,19,95,12,37,early
0020700002,2007-10-30,2007-08,LAL,HOU,1,0,32,76,2,8,27,45,12,93,11,26,early
0020700003,2007-10-30,2007-08,UTA,GSW,0,1,41,90,5,11,30,36,19,117,16,40,early
0020700003,2007-10-30,2007-08,GSW,UTA,1,0,32,77,6,23,26,38,20,96,7,30,early
0020700004,2007-10-31,2007-08,PHI,TOR,0,0,38,82,7,17,14,23,18,97,15,31,early
0020700004,2007-10-31,2007-08,TOR,PHI,1,1,41,85,9,16,15,17,11,106,10,27,early
0020700005,2007-10-31,2007-08,MIL,ORL,0,0,33,87,4,17,13,22,15,83,18,30,early
0020700005,2007-10-31,2007-08,ORL,MIL,1,1,32,73,12,22,26,35,10,102,9,33,early
0020700006,2007-10-31,2007-08,WAS,IND,0,0,36,99,6,20,32,45,18,110,23,33,early
0020700006,2007-10-31,2007-08,IND,WAS,1,1,38,92,13,29,30,36,17,119,14,42,early
0020700007,2007-10-31,2007-08,CHI,NJN,0,0,38,96,8,23,19,26,16,103,19,26,early
0020700007,2007-10-31,2007-08,NJN,CHI,1,1,33,82,9,24,37,41,17,112,14,34,early
0020700008,2007-10-31,2007-08,DAL,CLE,0,1,33,69,9,18,17,20,16,92,5,31,early
0020700008,2007-10-31,2007-08,CLE,DAL,1,0,28,77,3,12,15,25,17,74,16,31,early
0020700009,2007-10-31,2007-08,SAS,MEM,0,1,38,87,12,23,16,22,9,104,7,35,early
0020700009,2007-10-31,2007-08,MEM,SAS,1,0,38,80,10,23,15,20,14,101,6,36,early
0020700010,2007-10-31,2007-08,SAC,NOH,0,0,36,81,3,10,15,18,15,90,8,26,early
0020700010,2007-10-31,2007-08,NOH,SAC,1,1,39,77,10,21,16,21,20,104,11,33,early
0020700011,2007-10-31,2007-08,SEA,DEN,0,0,40,96,7,17,16,27,21,103,14,38,early
0020700011,2007-10-31,2007-08,DEN,SEA,1,1,42,91,11,27,25,35,16,120,13,37,early
0020700012,2007-11-01,2007-08,DET,MIA,0,1,31,80,6,19,23,30,12,91,12,32,early
0020700012,2007-11-01,2007-08,MIA,DET,1,0,33,75,5,13,9,15,17,80,5,35,early
0020700013,2007-11-01,2007-08,HOU,UTA,0,1,39,80,5,16,23,30,14,106,9,32,early
0020700013,2007-11-01,2007-08,UTA,HOU,1,0,36,81,3,14,20,29,20,95,15,29,early
0020700014,2007-11-01,2007-08,PHX,SEA,0,1,42,84,11,33,11,17,20,106,5,39,early
0020700014,2007-11-01,2007-08,SEA,PHX,1,0,41,99,5,13,12,15,18,99,11,39,early
0020700015,2007-11-02,2007-08,MIL,CHA,0,0,42,87,5,13,10,14,19,99,14,30,early
0020700015,2007-11-02,2007-08,CHA,MIL,1,1,37,76,6,16,22,43,19,102,17,24,early
0020700016,2007-11-02,2007-08,DET,ORL,0,1,43,73,7,15,23,30,13,116,9,33,early
0020700016,2007-11-02,2007-08,ORL,DET,1,0,31,77,8,18,22,33,12,92,10,24,early
0020700017,2007-11-02,2007-08,MIA,IND,0,0,36,96,9,16,4,13,19,85,17,38,early
0020700017,2007-11-02,2007-08,IND,MIA,1,1,33,83,7,15,14,21,14,87,13,37,early
0020700018,2007-11-02,2007-08,TOR,NJN,0,1,39,77,13,22,15,16,12,106,6,31,early
0020700018,2007-11-02,2007-08,NJN,TOR,1,0,25,68,6,20,13,18,19,69,8,26,early
0020700019,2007-11-02,2007-08,DAL,ATL,0,0,35,80,4,24,20,25,10,94,7,31,early
0020700019,2007-11-02,2007-08,ATL,DAL,1,1,36,79,4,15,25,31,15,101,14,38,early
0020700020,2007-11-02,2007-08,NYK,CLE,0,0,42,91,8,15,14,23,11,106,15,28,early
0020700020,2007-11-02,2007-08,CLE,NYK,1,1,38,81,12,22,22,31,13,110,13,26,early
0020700021,2007-11-02,2007-08,WAS,BOS,0,0,28,80,0,16,27,35,20,83,14,31,early
0020700021,2007-11-02,2007-08,BOS,WAS,1,1,39,81,7,21,18,27,15,103,10,36,early
0020700022,2007-11-02,2007-08,POR,NOH,0,0,40,83,6,13,7,10,13,93,9,21,early
0020700022,2007-11-02,2007-08,NOH,POR,1,1,44,78,11,25,14,16,12,113,8,32,early
0020700023,2007-11-02,2007-08,DEN,MIN,0,1,34,73,3,14,28,38,19,99,9,40,early
0020700023,2007-11-02,2007-08,MIN,DEN,1,0,35,88,7,22,14,19,12,91,9,31,early
0020700024,2007-11-02,2007-08,PHI,CHI,0,1,35,83,1,11,25,34,20,96,18,37,early
0020700024,2007-11-02,2007-08,CHI,PHI,1,0,33,86,7,24,12,19,16,85,12,24,early
0020700025,2007-11-02,2007-08,SAC,SAS,0,0,29,75,2,12,20,26,14,80,6,29,early
0020700025,2007-11-02,2007-08,SAS,SAC,1,1,31,75,12,27,22,25,19,96,11,39,early
0020700026,2007-11-02,2007-08,LAL,PHX,0,1,48,85,8,13,15,20,21,119,11,43,early
0020700026,2007-11-02,2007-08,PHX,LAL,1,0,37,87,9,28,15,22,14,98,9,25,early
0020700027,2007-11-02,2007-08,GSW,LAC,0,0,44,94,7,28,19,25,10,114,11,25,early
0020700027,2007-11-02,2007-08,LAC,GSW,1,1,41,85,7,18,31,36,18,120,15,38,early
0020700028,2007-11-03,2007-08,NJN,PHI,0,1,33,80,8,17,19,25,19,93,12,35,early
0020700028,2007-11-03,2007-08,PHI,NJN,1,0,32,81,3,15,21,32,14,88,12,32,early
0020700029,2007-11-03,2007-08,ORL,WAS,0,1,33,77,10,30,18,21,14,94,9,37,early
0020700029,2007-11-03,2007-08,WAS,ORL,1,0,31,89,6,23,14,20,15,82,18,32,early
0020700030,2007-11-03,2007-08,IND,MEM,0,1,47,89,4,18,23,27,17,121,10,30,early
0020700030,2007-11-03,2007-08,MEM,IND,1,0,32,66,10,27,37,51,27,111,6,31,early
0020700031,2007-11-03,2007-08,CHI,MIL,0,0,27,77,5,21,13,17,19,72,10,35,early
0020700031,2007-11-03,2007-08,MIL,CHI,1,1,25,76,5,16,23,28,16,78,13,34,early
0020700032,2007-11-03,2007-08,POR,HOU,0,0,31,76,2,10,16,17,18,80,10,34,early
0020700032,2007-11-03,2007-08,HOU,POR,1,1,36,91,6,22,11,15,10,89,15,32,early
0020700033,2007-11-03,2007-08,SAC,DAL,0,0,35,70,3,7,29,32,16,102,11,16,early
0020700033,2007-11-03,2007-08,DAL,SAC,1,1,45,69,7,14,26,29,15,123,7,24,early
0020700034,2007-11-03,2007-08,GSW,UTA,0,0,40,79,13,31,17,24,21,110,11,19,early
0020700034,2007-11-03,2007-08,UTA,GSW,1,1,51,81,12,16,19,28,18,133,12,26,early
0020700035,2007-11-04,2007-08,BOS,TOR,0,1,34,77,12,26,18,21,21,98,8,34,early
0020700035,2007-11-04,2007-08,TOR,BOS,1,0,33,90,10,25,19,24,14,95,12,30,early
0020700036,2007-11-04,2007-08,SEA,LAC,0,0,39,83,5,13,18,22,22,101,10,37,early
0020700036,2007-11-04,2007-08,LAC,SEA,1,1,41,89,7,18,26,34,12,115,12,36,early
0020700037,2007-11-04,2007-08,MIN,NYK,0,0,39,87,9,17,6,10,13,93,14,27,early
0020700037,2007-11-04,2007-08,NYK,MIN,1,1,31,65,5,14,30,39,14,97,8,26,early
0020700038,2007-11-04,2007-08,CHA,MIA,0,1,32,69,8,18,18,22,19,90,9,31,early
0020700038,2007-11-04,2007-08,MIA,CHA,1,0,33,75,2,12,20,26,12,88,12,28,early
0020700039,2007-11-04,2007-08,ATL,DET,0,0,33,72,4,10,21,26,21,91,12,29,early
0020700039,2007-11-04,2007-08,DET,ATL,1,1,37,81,4,14,14,21,14,92,13,24,early
0020700040,2007-11-04,2007-08,NOH,DEN,0,1,33,86,8,24,19,26,16,93,12,41,early
0020700040,2007-11-04,2007-08,DEN,NOH,1,0,33,90,4,18,18,24,15,88,15,39,early
0020700041,2007-11-04,2007-08,CLE,PHX,0,0,39,88,5,16,9,12,22,92,12,39,early
0020700041,2007-11-04,2007-08,PHX,CLE,1,1,40,89,5,21,18,25,11,103,9,31,early
0020700042,2007-11-04,2007-08,UTA,LAL,0,0,40,82,3,14,26,36,16,109,9,23,early
0020700042,2007-11-04,2007-08,LAL,UTA,1,1,43,77,3,15,30,37,19,119,6,34,early
0020700043,2007-11-05,2007-08,HOU,DAL,0,0,37,88,5,21,19,21,10,98,11,27,early
0020700043,2007-11-05,2007-08,DAL,HOU,1,1,36,77,8,18,27,28,13,107,8,35,early
0020700044,2007-11-06,2007-08,PHX,CHA,0,1,45,90,9,24,16,21,10,115,14,31,early
0020700044,2007-11-06,2007-08,CHA,PHX,1,0,30,82,4,15,19,28,24,83,23,28,early
0020700045,2007-11-06,2007-08,ATL,NJN,0,0,26,68,7,18,23,32,20,82,8,27,early
0020700045,2007-11-06,2007-08,NJN,ATL,1,1,34,78,4,17,15,20,18,87,12,33,early
0020700046,2007-11-06,2007-08,DEN,NYK,0,0,43,86,6,16,20,32,12,112,12,28,early
0020700046,2007-11-06,2007-08,NYK,DEN,1,1,48,91,6,14,17,29,19,119,17,32,early
0020700047,2007-11-06,2007-08,TOR,MIL,0,0,32,77,8,17,13,18,15,85,6,26,early
0020700047,2007-11-06,2007-08,MIL,TOR,1,1,47,78,7,15,11,16,18,112,8,37,early
0020700048,2007-11-06,2007-08,ORL,MIN,0,1,35,73,10,24,31,44,9,111,10,30,early
0020700048,2007-11-06,2007-08,MIN,ORL,1,0,40,81,5,13,18,25,15,103,12,30,early
0020700049,2007-11-06,2007-08,LAC,CHI,0,1,36,79,9,20,16,24,16,97,12,30,early
0020700049,2007-11-06,2007-08,CHI,LAC,1,0,30,84,2,9,29,34,14,91,15,29,early
0020700050,2007-11-06,2007-08,SAS,HOU,0,0,32,69,3,8,14,23,13,81,4,24,early
0020700050,2007-11-06,2007-08,HOU,SAS,1,1,35,86,9,21,10,17,19,89,25,30,early
0020700051,2007-11-06,2007-08,SEA,SAC,0,0,38,79,8,21,14,18,26,98,12,30,early
0020700051,2007-11-06,2007-08,SAC,SEA,1,1,35,78,5,17,29,37,19,104,13,28,early
0020700052,2007-11-06,2007-08,NOH,LAL,0,1,42,89,14,25,20,22,12,118,9,34,early
